Filename,Epsilon,Mu,Sigma,TanD,TanDFreq,EpsInfinity,DispModelEps,DispCoeff1Eps,DispCoeff2Eps,UseGeneralDispersionEps,ThermalConductivity,ThermalConductivityX,ThermalConductivityY,ThermalConductivityZ,HeatCapacity,ThermalExpansionRate,Emissivity,YoungsModulus,PoissonsRatio,Rho
Air (CHT).mtd,1.00059,1.0,0.0,0.0,0.0,N/A,None,N/A,N/A,False,0.026,N/A,N/A,N/A,1.005,N/A,0.0,N/A,N/A,1.204
Air.mtd,1.00059,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.026,N/A,N/A,N/A,1.005,N/A,N/A,N/A,N/A,1.204
Alumina (96%) (loss free).mtd,9.4,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,25,N/A,N/A,N/A,0.88,7,N/A,300,0.22,3800.0
Alumina (96%) (lossy).mtd,9.4,1.0,N/A,0.0004,1.0,N/A,None,N/A,N/A,False,25,N/A,N/A,N/A,0.88,7,N/A,300,0.22,3800.0
Alumina (99.5%) (loss free).mtd,9.9,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,30,N/A,N/A,N/A,0.88,7.9,N/A,370,0.22,3900.0
Alumina (99.5%) (lossy).mtd,9.9,1.0,N/A,0.0001,1.0,N/A,None,N/A,N/A,False,30,N/A,N/A,N/A,0.88,7.9,N/A,370,0.22,3900.0
Aluminum Nitride (loss free).mtd,8.6,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,200,N/A,N/A,N/A,0.74,3.9,N/A,308,0.22,3260.0
Aluminum Nitride (lossy).mtd,8.6,1.0,N/A,0.0003,1.0,N/A,None,N/A,N/A,False,200,N/A,N/A,N/A,0.74,3.9,N/A,308,0.22,3260.0
Aluminum.mtd,1,1.0,3.56e+007,0.0,0.0,N/A,None,N/A,N/A,False,237.0,N/A,N/A,N/A,0.9,23,N/A,69,0.33,2700.0
Arlon AD 1000 (loss free).mtd,10.2,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.645,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Arlon AD 1000 (lossy).mtd,10.2,1.0,N/A,0.0023,10.0,N/A,None,N/A,N/A,False,0.645,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Arlon AD 250C (loss free).mtd,2.5,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.235,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Arlon AD 250C (lossy).mtd,2.5,1.0,N/A,0.0013,10.0,N/A,None,N/A,N/A,False,0.235,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Arlon AD 255C (loss free).mtd,2.6,1.0,N/A,0.0,0.0,N/A,None,N/A,N/A,False,0.235,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
Arlon AD 255C (lossy).mtd,2.6,1.0,N/A,0.0014,10.0,N/A,None,N/A,N/A,False,0.235,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0
